57982945|lx-alloc-jackm-BISP-accept|2026-09-06T09:59:03|Unknown|nid[001064-001065,001068,001128]|billing=512,cpu=512,gres/gpu:a100=16,gres/gpu=16,mem=919208M,node=4|RUNNING
57982945.99|lx-Xg4-112039-98040-6683|2026-09-06T11:20:40|2026-09-06T11:21:58|nid001128|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.100|lx-Xg4-112111-112006-2674|2026-09-06T11:21:13|2026-09-06T11:22:34|nid001065|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.101|lx-Xg0-112120-114080-6032|2026-09-06T11:21:22|2026-09-06T11:21:30|nid001064|cpu=128,mem=229802M,node=1|COMPLETED
57982945.102|lx-Xg4-112223-125913-7939|2026-09-06T11:22:27|2026-09-06T11:23:46|nid001128|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.103|lx-Xg4-112227-126478-8165|2026-09-06T11:22:30|2026-09-06T11:23:05|nid001128|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.104|lx-Xg4-112243-128143-9636|2026-09-06T11:22:45|2026-09-06T11:27:16|nid001064|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.105|lx-Xg4-112243-128144-6525|2026-09-06T11:22:45|2026-09-06T11:26:44|nid001064|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.106|lx-Xg4-112308-131357-3689|2026-09-06T11:23:10|2026-09-06T11:23:33|nid001065|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.107|lx-Xg4-112334-135299-8542|2026-09-06T11:23:34|2026-09-06T11:23:42|nid001065|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.108|lx-Xg0-112342-135973-6645|2026-09-06T11:23:43|2026-09-06T11:23:45|nid001065|cpu=128,mem=229802M,node=1|COMPLETED
57982945.109|lx-Xg4-112402-138917-1044|2026-09-06T11:24:02|2026-09-06T11:25:00|nid001065|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.110|lx-Xg4-112408-140580-8293|2026-09-06T11:24:10|2026-09-06T11:25:04|nid001068|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.111|lx-Xg4-112421-142198-8306|2026-09-06T11:24:23|2026-09-06T11:27:17|nid001128|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.112|lx-Xg4-112502-145591-1865|2026-09-06T11:25:02|2026-09-06T11:26:00|nid001065|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.113|lx-Xg4-112546-153044-2037|2026-09-06T11:25:48|2026-09-06T11:26:41|nid001068|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.114|lx-Xg0-112619-156331-4217|2026-09-06T11:26:21|2026-09-06T11:27:25|nid001065|cpu=128,mem=229802M,node=1|FAILED
