n=24  sigX=  -16.178347              sigC=    1.959457+  0.006781i  sigXC=  -14.218890+  0.006781i  sigCC=  -14.220697+  0.006781i  sigTT=    0.001807              sigCT=    0.000000              Hdir=  414.336448              Eo=   -5.386129  Z=    0.775974  Z_status=OK
n=25  sigX=  -16.178347              sigC=    1.959457+  0.006781i  sigXC=  -14.218890+  0.006781i  sigCC=  -14.220697+  0.006781i  sigTT=    0.001807              sigCT=    0.000000              Hdir=  414.336448              Eo=   -5.386129  Z=    0.775974  Z_status=OK
n=26  sigX=  -11.071535              sigC=   -2.842997+ -0.015693i  sigXC=  -13.914531+ -0.015693i  sigCC=  -13.915911+ -0.015693i  sigTT=    0.001380              sigCT=   -0.000000              Hdir=  424.844859              Eo=   -2.581525  Z=    0.760620  Z_status=OK
n=27  sigX=  -11.071535              sigC=   -2.842997+ -0.015693i  sigXC=  -13.914531+ -0.015693i  sigCC=  -13.915911+ -0.015693i  sigTT=    0.001380              sigCT=   -0.000000              Hdir=  424.844859              Eo=   -2.581525  Z=    0.760620  Z_status=OK
n=28  sigX=  -10.967685              sigC=   -2.867874+ -0.016050i  sigXC=  -13.835560+ -0.016050i  sigCC=  -13.836820+ -0.016050i  sigTT=    0.001260              sigCT=    0.000000              Hdir=  423.171643              Eo=   -2.505766  Z=    0.760582  Z_status=OK
n=29  sigX=  -10.967685              sigC=   -2.867874+ -0.016050i  sigXC=  -13.835560+ -0.016050i  sigCC=  -13.836820+ -0.016050i  sigTT=    0.001260              sigCT=    0.000000              Hdir=  423.171643              Eo=   -2.505766  Z=    0.760582  Z_status=OK

k-point 1:
# kcrys     0.000000000    0.333333333    0.000000000
----------------------------------------------------------------------------------------------------
n=0   sigX=  -40.408600              sigC=    3.927804+  0.013322i  sigXC=  -36.480796+  0.013322i  sigCC=  -36.484242+  0.013322i  sigTT=    0.003446              sigCT=   -0.000000              Hdir=  593.877520              Eo=  -65.392849  Z=    1.000000  Z_status=OK
n=1   sigX=  -40.408600              sigC=    3.927804+  0.013322i  sigXC=  -36.480796+  0.013322i  sigCC=  -36.484242+  0.013322i  sigTT=    0.003446              sigCT=   -0.000000              Hdir=  593.877520              Eo=  -65.392849  Z=    1.000000  Z_status=OK
n=2   sigX=  -31.740214              sigC=    3.458863+  0.013447i  sigXC=  -28.281352+  0.013447i  sigCC=  -28.284053+  0.013447i  sigTT=    0.002701              sigCT=    0.000000              Hdir=  585.506865              Eo=  -42.080457  Z=    1.000000  Z_status=OK
n=3   sigX=  -31.740214              sigC=    3.458863+  0.013447i  sigXC=  -28.281352+  0.013447i  sigCC=  -28.284053+  0.013447i  sigTT=    0.002701              sigCT=    0.000000              Hdir=  585.506865              Eo=  -42.080457  Z=    1.000000  Z_status=OK
n=4   sigX=  -30.984640              sigC=    3.521463+  0.014386i  sigXC=  -27.463178+  0.014386i  sigCC=  -27.466636+  0.014386i  sigTT=    0.003458              sigCT=    0.000000              Hdir=  580.461439              Eo=  -39.576684  Z=    1.000000  Z_status=OK
n=5   sigX=  -30.984640              sigC=    3.521463+  0.014386i  sigXC=  -27.463178+  0.014386i  sigCC=  -27.466636+  0.014386i  sigTT=    0.003458              sigCT=    0.000000              Hdir=  580.461439              Eo=  -39.576684  Z=    1.000000  Z_status=OK
n=6   sigX=  -31.495384              sigC=    3.526499+  0.013965i  sigXC=  -27.968886+  0.013965i  sigCC=  -27.972539+  0.013965i  sigTT=    0.003653              sigCT=    0.000000              Hdir=  585.107365              Eo=  -39.426598  Z=    1.000000  Z_status=OK
